impressionTime,impressionOrder,semanticId,semanticCount,opengraph,id,user,timeline,publicationTime,postId,permaLink,fblinktype,nature,images,displaySource,source,sourceLink,texts,textsize,LIKE,LOVE,WOW,ANGRY,HAHA,SAD,videoautoplay
2019-06-24T11:05:13.000Z,9,e2d9a63684d12cdaaf2a078ed9f644c80cac5bcc,"{'personal': 0, 'global': 0}","{'fblinktype': 'external', 'link': 'https://www.lavanguardia.com/sucesos/20190624/463069104016/tiroteo-mezquita-ceuta.html', 'isValid': True, 'siteName': 'lavanguardia.com', 'title': 'Disparan varias veces contra una de las principales mezquitas de Ceuta durante el rezo', 'description': 'Uno o dos individuos han efectuado al menos cuatro disparos contra una de las principales mezquitas de Ceuta -Muley el Mehdi- cuando en el interior del templo había personas que terminaban uno de sus...'}",6f3335673314e4684dd835f9c678f5a617dc5f29,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-24T08:40:00.000Z,2653611684702404,/LaVanguardia/posts/2653611684702404,posts,organic,"{'count': 1, 'captions': []}",La Vanguardia,La Vanguardia,https://www.facebook.com/LaVanguardia/,"['Un hombre ha disparado al menos cuatro veces en una de las mezquitas más concurridas de Ceuta. En ese momento un grupo salía tras terminar el rezo.', 'Disparan varias veces contra una de las principales mezquitas de Ceuta durante el rezo', 'Uno o dos individuos han efectuado al menos cuatro disparos contra una de las principales mezquitas de Ceuta -Muley el Mehdi- cuando en el interior del templo había personas que terminaban uno de sus...']",437,33.0,0.0,20.0,39.0,0.0,0.0,
2019-06-24T11:05:13.000Z,10,b7d27979456b2cb00b6232bff6c24bd97b1fabd6,"{'personal': 0, 'global': 0}","{'fblinktype': 'external', 'link': 'http://ver.abc.es/7koio2', 'isValid': True, 'siteName': 'abc.es', 'title': 'El grave insulto de un dirigente de Vox a la ministra Dolores Delgado', 'description': 'La Fiscalía anuncia que está estudiando el contenido de las palabras del portavoz en la Asamblea Regional'}",e1126a6b5a1fcab763e77ace3e200de045e36e36,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-23T18:35:05.000Z,10159066805724896,/ABCes/posts/10159066805724896,posts,organic,"{'count': 1, 'captions': []}",ABC.es,ABC.es,https://www.facebook.com/ABCes/,"['La Fiscalía anuncia que está estudiando el contenido de las palabras del portavoz en la Asamblea Regional', 'El grave insulto de un dirigente de Vox a la ministra Dolores Delgado']",281,122.0,0.0,0.0,74.0,203.0,0.0,
2019-06-24T11:05:13.000Z,12,f7dfb9dc9816ab74e3b8722cb4f82cad0d4f5e2e,"{'personal': 0, 'global': 0}",,9f3a09bbc5f0dfad7b4eb26ae1f57441adb93669,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-22T15:47:02.000Z,362215454333514,/ads/about,,sponsored,"{'count': 0, 'captions': ['Nessuna descrizione della foto disponibile.']}",MADEC E&C,MADEC E&C,https://www.facebook.com/madecenc/,"['Contact us for Project Management, Architecture, Design, Engineering, Simulation']",80,0.0,0.0,0.0,0.0,0.0,0.0,
2019-06-24T11:05:12.000Z,8,5ac88f6d219673adfcf85c238cd584e3e9daee2e,"{'personal': 0, 'global': 0}","{'fblinktype': 'external', 'link': 'https://elpais.com/elpais/2019/06/21/gente/1561128792_830560.html', 'isValid': True, 'siteName': 'elpais.com', 'title': 'El regreso de los hijos olvidados del barón Thyssen', 'description': 'La decisión de Francesca de establecer en Madrid su fundación devuelve a la actualidad a su singular familia'}",cc928bbb1ee0dffc5f0dd07a164b348686adbbec,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-23T21:06:00.000Z,10156414231341570,/elpais/posts/10156414231341570,posts,organic,"{'count': 1, 'captions': []}",El País,El País,https://www.facebook.com/elpais/,"['Hablar de los herederos de Hans Heinrich von Thyssen-Bornemisza supone casi una reconstrucción del Imperio Austrohúngaro. La mayoría de sus cinco hijos naturales y adoptivos vive en Suiza', 'El regreso de los hijos olvidados del barón Thyssen', 'La decisión de Francesca de establecer en Madrid su fundación devuelve a la actualidad a su singular familia']",348,63.0,0.0,8.0,0.0,0.0,2.0,
2019-06-24T11:05:05.000Z,3,bacbdc7cffccff4525ff5262b77206095af8ba51,"{'personal': 0, 'global': 0}","{'fblinktype': 'external', 'link': 'https://catalunyadiari.com/actualitat/ferits-revetlla-sant-joan-catalunya-2019', 'isValid': True, 'siteName': 'catalunyadiari.com', 'title': '🚑', 'description': '🔥'}",5ef1d721978153cc5900d6423d4f2d334fa60795,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-24T11:00:00.000Z,1298124070361717,/CatalunyaDiari/posts/1298124070361717,posts,organic,"{'count': 1, 'captions': []}",Catalunya Diari,Catalunya Diari,https://www.facebook.com/CatalunyaDiari/,"['🚨 ALERTA!', '🚨 allarme!', '🚑', '🔥']",24,2.0,0.0,0.0,5.0,0.0,2.0,
2019-06-24T11:05:05.000Z,4,ade94017da0b74770eae381175c155e9242b5057,"{'personal': 0, 'global': 0}","{'fblinktype': 'external', 'link': 'https://verne.elpais.com/verne/2019/06/21/articulo/1561133757_626073.html', 'isValid': True, 'siteName': 'verne.elpais.com', 'title': 'Nacen más Rayans que Fernandos: buceamos en las estadísticas del INE sobre nombres', 'description': 'Solo hay un nombre compuesto entre los favoritos para niños y niñas en 2018.'}",6411321617c0024bc4d5be3034edf601a2407dbe,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-24T10:13:00.000Z,10156416273231570,/elpais/posts/10156416273231570,posts,organic,"{'count': 1, 'captions': []}",El País,El País,https://www.facebook.com/elpais/,"['Este último año nacieron más Leos que Antonios, más Dylans que Josés y más Rayans que Fernandos', 'Nacen más Rayans que Fernandos: buceamos en las estadísticas del INE sobre nombres', 'Solo hay un nombre compuesto entre los favoritos para niños y niñas en 2018.']",255,28.0,0.0,0.0,0.0,49.0,17.0,
2019-06-24T11:05:05.000Z,6,d1a159f1cf5487212869d95a355d530f957f0e23,"{'personal': 0, 'global': 0}","{'fblinktype': 'external', 'link': 'https://www.publico.es/culturas/dura-batalla-museos-frente-masificacion.html', 'isValid': True, 'siteName': 'publico.es', 'title': 'La dura batalla de los museos frente a la masificación', 'description': 'Las principales pinacotecas tratan de hacer frente a un nuevo tipo de visitante que desborda la salas más emblemáticas y ralentiza la circulación en el interior de los museos.'}",7f224e2bf37cdd7ecba79639f53e8a35efe10e23,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-23T19:25:00.000Z,10156354230421846,/diario.publico/posts/10156354230421846,posts,organic,"{'count': 1, 'captions': []}",Diario Público,Diario Público,https://www.facebook.com/diario.publico/,"['El Prado es uno de los pocos grandes museos en los que no está permitido proceder a la instantánea en ninguno de sus espacios.  ✍️Por JUAN LOSA', 'La dura batalla de los museos frente a la masificación', 'Las principales pinacotecas tratan de hacer frente a un nuevo tipo de visitante que desborda la salas más emblemáticas y ralentiza la circulación en el interior de los museos.']",373,53.0,5.0,1.0,0.0,0.0,0.0,
2019-06-24T11:05:05.000Z,7,56416ca98d196ebe700b8524de9b382f84ee50a8,"{'personal': 0, 'global': 1}","{'fblinktype': 'external', 'link': 'http://ver.abc.es/tccp61', 'isValid': True, 'siteName': 'abc.es', 'title': 'Antonio Manuel Guerrero perderá su condición de Guardia Civil, tras la sentencia de La Manada', 'description': 'Antonio Manuel Guerrero, uno de los miembros de La Manada, condenados por el Tribunal Supremo a 15 años de prisión, perderá su condición de guardia civil a la máxima brevedad posible'}",af552c92d4d7285fe7a75f1972e0158da0d6e5b0,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-24T09:50:00.000Z,10159068875849896,/ABCes/posts/10159068875849896,posts,organic,"{'count': 1, 'captions': []}",ABC.es,ABC.es,https://www.facebook.com/ABCes/,"['La Dirección General del instituto armado quiere resolver el expediente con «la máxima celeridad».', 'Antonio Manuel Guerrero perderá su condición de Guardia Civil, tras la sentencia de La Manada', 'Antonio Manuel Guerrero, uno de los miembros de La Manada, condenados por el Tribunal Supremo a 15 años de prisión, perderá su condición de guardia civil a la máxima brevedad posible']",375,260.0,73.0,0.0,0.0,9.0,0.0,
2019-06-24T11:05:03.000Z,1,f61778cb4611b3dcab26acbc594b2f224dadeeef,"{'personal': 0, 'global': 0}","{'fblinktype': 'external', 'link': 'https://www.lavanguardia.com/local/tarragona/20190624/463063076448/toreo-sin-sangre-turistas-vuelve-ebro-prohibido.html', 'isValid': True, 'siteName': 'lavanguardia.com', 'title': 'El toreo sin sangre para turistas vuelve al Ebro pese a estar prohibido', 'description': ""El particular espectáculo de toreo sin sangre abrió ayer nueva temporada turística en las Terres de l'Ebre, a pesar de la presión judicial y las reiteradas denuncias presentadas, paradójicamente, por...""}",fbe2d01b1af622aec0a56ccad5c563206f4128a3,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-24T10:50:00.000Z,2653784081351831,/LaVanguardia/posts/2653784081351831,posts,organic,"{'count': 1, 'captions': []}",La Vanguardia,La Vanguardia,https://www.facebook.com/LaVanguardia/,"['Esta imagen de la plaza, fue tomada ayer al mediodía desde el exterior de la ganadería Mur. Aunque una sentencia prohibió la actividad en el 2015, la ganadería Mur sigue defendiendo que es legal.', 'El toreo sin sangre para turistas vuelve al Ebro pese a estar prohibido', ""El particular espectáculo de toreo sin sangre abrió ayer nueva temporada turística en las Terres de l'Ebre, a pesar de la presión judicial y las reiteradas denuncias presentadas, paradójicamente, por...""]",470,16.0,0.0,3.0,25.0,0.0,0.0,
2019-06-24T11:05:03.000Z,2,b2a7b383589fd049e1144580f2ffd48f7a84a55d,"{'personal': 0, 'global': 3}",,9f8a091fcd62ef6e32fbe9f44945e2d4f9addab5,rosemary-ceviche-meringue,berry-nachos-cake,2019-06-20T10:58:38.000Z,2212980548814627,,,sponsored,"{'count': 1, 'captions': [""L'immagine può contenere: testo""]}",DGTL,DGTL,https://www.facebook.com/dgtlfestival/,"['The line-up for our fifth anniversary of DGTL Barcelona is now complete! Over 50 artists and 24 hours of musical bliss awaits for you.', ' Check our day-by-day split here: http://bit.ly/BCN_day-by-day']",197,477.0,72.0,17.0,0.0,0.0,0.0,
