date,postId,source,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url,total_views,average_order,seen_by,visible
2019-05-14 14:35:01+00:00,10158929416789896,ABC.es,"Ante el juez instructor, el perito de la Junta insiste en que la organización sindical usó de forma irregular más de 40 millones en subvenciones",507.0,144.0,28.0,2.0,25.0,3.0,305.0,94.0,/story.php?story_fbid=10158929416789896&id=7377874895,4.0,25.0,1.0,yes
2019-05-14 14:37:46+00:00,2753819977967190,eldiario.es,"La locura que despierta Juego de Tronos no tiene fin: en España, hay 279 Aryas y 57 Daenerys.",608.0,138.0,384.0,13.0,49.0,22.0,2.0,201.0,/story.php?story_fbid=2753819977967190&id=417471918268686,2.0,34.5,1.0,yes
2019-05-14 14:50:00+00:00,10158929456239896,ABC.es,"Los agentes de Policía detienen a un vecino de 61 años del Zabal y rescata a varios equinos, cerdos y hasta un perro en un lamentable estado",788.0,72.0,0.0,0.0,10.0,223.0,483.0,79.0,/story.php?story_fbid=10158929456239896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 15:05:00+00:00,10158929497949896,ABC.es,"Aún llegas a tiempo a la 'Operación bikini'. Si tu objetivo es perder peso, estos son los 7 tipos de entrenamiento que deberías llevar a cabo",15.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,/story.php?story_fbid=10158929497949896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 15:10:00+00:00,2753826267966561,eldiario.es,"El fraile de O Cebreiro, célebre por dar la bienvenida a peregrinos en el Camino de Santiago, ha sido condenado a doce años de cárcel por abusar de menores con discapacidad.",769.0,235.0,0.0,6.0,26.0,21.0,481.0,138.0,/story.php?story_fbid=2753826267966561&id=417471918268686,0.0,0.0,0.0,no
2019-05-14 15:20:00+00:00,10158929538154896,ABC.es,"En noviembre, el presidente del Gobierno logró decepcionar a los muchos políticos cubanos en el Capitolio y en el ejecutivo al viajar a Cuba y no tener el gesto de reunirse con la disidencia en la propia isla o en Miami",133.0,34.0,15.0,0.0,3.0,3.0,78.0,76.0,/story.php?story_fbid=10158929538154896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 15:35:00+00:00,10158929574729896,ABC.es,Medios israelíes aseguran que la cantante aún no ha firmado el contrato para su actuación el sábado durante el gran espectáculo europeo de la música,4.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,/story.php?story_fbid=10158929574729896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 15:38:55+00:00,2753907761291745,eldiario.es,TVE cambia sus corresponsalías: Almudena Ariza se va a París después de seis años informando en Nueva York.,27.0,24.0,0.0,0.0,1.0,2.0,0.0,5.0,/story.php?story_fbid=2753907761291745&id=417471918268686,7.0,41.142857142857146,2.0,yes
2019-05-14 15:50:00+00:00,10158929609244896,ABC.es,"Más del el 76% afirma sentir dolores de cabeza, escozor en los ojos, empeoramiento de la visión, dificultad para enfocar, sequedad ocular y enrrojecimiento de los ojos",15.0,9.0,0.0,0.0,4.0,2.0,0.0,2.0,/story.php?story_fbid=10158929609244896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 15:51:55+00:00,2753924354623419,eldiario.es,ÚLTIMA HORA | ERC bloquea la designación de Iceta como presidente del Senado.,494.0,199.0,32.0,69.0,16.0,13.0,166.0,147.0,/story.php?story_fbid=2753924354623419&id=417471918268686,8.0,20.625,1.0,yes
2019-05-14 16:05:00+00:00,10158929646424896,ABC.es,"La colaboradora regresó a la versión nocturna del espacio, y ahora podría plantearse su vuelta al diario",37.0,9.0,11.0,0.0,0.0,0.0,17.0,62.0,/story.php?story_fbid=10158929646424896&id=7377874895,0.0,0.0,0.0,no
2019-05-14 16:20:01+00:00,10158929689334896,ABC.es,"Ha faltado poco, pero esta vez tampoco se les permitirá estar en el plató: Vox se vuelve a quedar fuera del debate de RTVE previsto para cuatro días antes de los comicios europeos.",884.0,148.0,66.0,22.0,28.0,16.0,604.0,238.0,/story.php?story_fbid=10158929689334896&id=7377874895,10.0,35.7,2.0,yes
